side,entry_time,exit_time,entry_price,exit_price,holding_bars,net_return_pct,equity_after,mfe_pct,mae_pct
short,2021-09-07 23:00:00,2021-09-10 20:00:00,1798.255,1787.028,68,0.40420939500676045,0.8561369549215083,0.6243274730224679,-0.2843311988566688
long,2021-09-10 20:00:00,2021-09-13 03:00:00,1787.028,1790.884,5,0.3055324212086097,0.8590200478630955,0.2913216804661056,0.0
short,2021-09-13 03:00:00,2021-09-13 07:00:00,1790.884,1790.815,5,0.1275561519561874,0.8597263042348621,0.13177849598299263,-0.1169254960120325
long,2021-09-13 07:00:00,2021-09-13 08:00:00,1790.815,1789.994,2,0.009565884547946268,0.8595973452892268,0.0,-0.04584504820431823
long,2021-09-13 10:00:00,2021-09-13 11:00:00,1789.767,1785.837,2,0.07288385766071048,0.8602238529948227,0.0,-0.2195816550422558
long,2021-09-13 12:00:00,2021-09-13 15:00:00,1793.818,1793.674,4,0.49268148164780534,0.8644620166192455,0.12320090443957987,-0.008027570244029114
short,2021-09-13 16:00:00,2021-09-14 10:00:00,1791.975,1784.264,18,0.21396266652555784,0.8663116426011046,0.4303073424573478,-0.07717741597956795
long,2021-09-14 10:00:00,2021-09-14 13:00:00,1784.264,1804.194,4,-0.20822479691192664,0.8659206956474806,1.1169871723018643,0.0
short,2021-09-14 13:00:00,2021-09-16 03:00:00,1804.194,1790.934,37,0.07189566820100524,0.8717106631103944,0.7349542233263118,-0.0816985313109253
long,2021-09-16 03:00:00,2021-10-06 18:00:00,1790.934,1764.305,332,-1.5973777796852606,0.8582083755045955,0.0,-3.7966781578773867
short,2021-10-06 23:00:00,2021-10-07 02:00:00,1762.695,1760.025,4,0.32450887427337705,0.8609933378428654,0.22579062174681308,0.0
long,2021-10-07 02:00:00,2021-10-07 07:00:00,1760.025,1760.685,6,0.6410094185010484,0.8661272726503039,0.33198392068294336,-0.20851976534425054
short,2021-10-07 07:00:00,2021-10-07 08:00:00,1760.685,1759.825,2,0.18438436625862753,0.865444504760104,0.04884462581323801,0.0
long,2021-10-07 08:00:00,2021-10-08 03:00:00,1759.825,1756.558,19,-0.12998096971009732,0.8650014720223894,0.1318312900430385,-0.27258392169675627
long,2021-10-08 04:00:00,2021-10-08 09:00:00,1757.325,1759.678,6,0.1208202167067629,0.8660465686754035,0.13389668957080048,-0.09429103893703328
short,2021-10-08 11:00:00,2021-10-08 14:00:00,1775.755,1758.498,4,0.08232742164737683,0.8667595624856596,0.9718119898296851,0.0
long,2021-10-08 14:00:00,2021-10-11 02:00:00,1758.498,1755.325,10,0.18263907316247163,0.8687647054391916,0.08342346707246318,-0.1804380784055537
short,2021-10-11 02:00:00,2021-10-11 03:00:00,1755.325,1756.678,2,0.2379179008439758,0.8691735167378928,0.0,-0.07707974306752075
long,2021-10-11 03:00:00,2021-10-12 02:00:00,1756.678,1758.218,23,0.13796516509538836,0.8699632980993413,0.10588166983362957,-0.33472269818374256
short,2021-10-12 03:00:00,2021-11-03 13:00:00,1757.555,1763.128,373,-0.8790999975508251,0.8623154507670568,0.050467837421885875,-3.089462349684635
long,2021-11-03 13:00:00,2021-11-04 12:00:00,1763.128,1795.674,23,1.2077687211710764,0.8748795917321426,1.8459238353653262,-0.0686280292752417
short,2021-11-04 12:00:00,2021-11-22 15:00:00,1795.674,1815.608,276,-1.7130833482367214,0.8616692458858497,0.267309099535884,-4.3679420652078305
long,2021-11-22 15:00:00,2021-11-26 06:00:00,1815.608,1807.898,80,-0.9959359369538623,0.854621986989212,0.0,-1.8588814325559255
short,2021-11-26 07:00:00,2021-11-26 08:00:00,1802.798,1809.625,2,0.6165596484393854,0.8598912413076784,0.0,-0.3786891265688208
long,2021-11-26 08:00:00,2021-11-26 09:00:00,1809.625,1809.468,2,0.3271744078027661,0.8597078542621537,0.0,-0.008675830627891123
short,2021-11-26 09:00:00,2021-11-26 14:00:00,1809.468,1797.548,6,0.5084959090572827,0.8642637530920698,0.6587571595629282,-0.11810101090485858
long,2021-11-26 14:00:00,2021-12-13 11:00:00,1797.548,1789.845,245,-0.6272921963941469,0.8595287261861202,0.26257991441676065,-1.9066528404248384
long,2021-12-13 13:00:00,2021-12-16 06:00:00,1788.848,1784.438,63,0.06251266122427879,0.8600660404668463,0.0,-1.464629750543367
short,2021-12-16 08:00:00,2022-01-06 13:00:00,1785.445,1791.698,325,-0.012626703919504934,0.8599574424744043,0.08608498161523093,-2.504305649291916
long,2022-01-06 13:00:00,2022-01-07 04:00:00,1791.698,1790.578,15,0.18752065133327278,0.8602027676272171,0.05358045831382885,-0.22660068828564972
